iter	Passed	Remaining
0	188	18702
1	208	10192
2	224	7267
3	236	5675
4	243	4624
5	252	3949
6	259	3446
7	267	3079
8	274	2778
9	282	2540
10	287	2327
11	294	2162
12	300	2010
13	309	1898
14	316	1793
15	325	1709
16	333	1629
17	341	1555
18	348	1486
19	356	1427
20	364	1370
21	372	1318
22	379	1269
23	387	1226
24	394	1182
25	403	1148
26	411	1112
27	419	1079
28	426	1044
29	435	1015
30	440	979
31	448	952
32	456	926
33	464	901
34	472	876
35	480	854
36	489	832
37	497	810
38	504	789
39	512	769
40	520	749
41	528	729
42	536	710
43	543	691
44	552	674
45	559	656
46	566	638
47	574	622
48	583	607
49	591	591
50	600	576
51	607	560
52	616	546
53	624	531
54	634	518
55	641	503
56	650	490
57	657	476
58	667	464
59	676	450
60	685	437
61	692	424
62	700	411
63	709	398
64	717	386
65	726	374
66	734	361
67	743	349
68	751	337
69	760	325
70	767	313
71	776	301
72	785	290
73	794	279
74	802	267
75	811	256
76	818	244
77	828	233
78	835	222
79	844	211
80	851	199
81	860	188
82	867	177
83	876	167
84	884	156
85	892	145
86	900	134
87	908	123
88	916	113
89	925	102
90	932	92
91	940	81
92	948	71
93	955	60
94	963	50
95	970	40
96	979	30
97	986	20
98	995	10
99	1002	0
